=== 全局标签值统计 ===
共发现 507 个不同的标签值
标签值	出现文件数
17168.0	1
20095.0	1
20096.0	1
20097.0	1
20098.0	1
20099.0	1
20100.0	1
20101.0	1
20102.0	1
20103.0	1
20104.0	1
20105.0	1
20106.0	1
20107.0	1
20108.0	1
20109.0	1
20110.0	1
20111.0	1
20112.0	1
20113.0	1
20114.0	1
20115.0	1
20116.0	1
20117.0	1
20118.0	1
20119.0	1
20120.0	1
20121.0	1
20122.0	1
20123.0	1
20124.0	1
20273.0	1
20274.0	1
20275.0	1
20276.0	1
20277.0	1
20278.0	1
20279.0	1
20280.0	1
20281.0	1
20282.0	1
20283.0	1

=== 各文件标签值详情 ===
NPZ_0094.nii.gz: [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]
NPZ_0095.nii.gz: [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0]
NPZ_0096.nii.gz: [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0]
NPZ_0097.nii.gz: [0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0]
